Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
192.168.10.1-192.168.10.3-53-60721-17,192.168.10.3,60721,192.168.10.1,53,17,07/07/2017 03:54:16,46214,1,1,64,117,64,64,64.0,0.0,117,117,117.0,0.0,3916.562081,43.27692907,46214.0,0.0,46214,46214,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,21.63846453,21.63846453,64,117,81.66666667,30.59956427,936.3333333,0,0,0,0,0,0,0,0,1,122.5,64.0,117.0,20,0,0,0,0,0,0,1,64,1,117,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
172.217.9.226-192.168.10.15-443-58521-6,192.168.10.15,58521,172.217.9.226,443,6,07/07/2017 03:54:19,4655940,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,38.87507141,1.2886764,931188.0,2021779.226,4547704,3,4655940,1163985.0,2256114.61,4547704,3,0,0.0,0.0,0,0,1,0,0,0,100,20,1.073897,0.2147794,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,254,368,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.3-192.168.10.12-53-24219-17,192.168.10.12,24219,192.168.10.3,53,17,07/07/2017 03:54:19,317,2,2,66,98,33,33,33.0,0.0,49,49,49.0,0.0,517350.1577,12618.29653,105.6666667,141.4402112,267,3,47,47.0,0.0,47,47,3,3.0,0.0,3,3,0,0,0,0,40,40,6309.148265,6309.148265,33,49,39.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,49.25,33.0,49.0,40,0,0,0,0,0,0,2,66,2,98,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
173.194.204.156-192.168.10.15-443-58501-6,192.168.10.15,58501,173.194.204.156,443,6,07/07/2017 03:54:22,4661586,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,38.82798687,1.287115587,932317.2,2027899.906,4559799,48,4661586,1165396.5,2263152.919,4559799,48,0,0.0,0.0,0,0,1,0,0,0,100,20,1.072596322,0.214519264,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,253,180,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.1-192.168.10.3-53-60122-17,192.168.10.3,60122,192.168.10.1,53,17,07/07/2017 03:54:25,120595,1,1,62,230,62,62,62.0,0.0,230,230,230.0,0.0,2421.327584,16.58443551,120595.0,0.0,120595,120595,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,8.292217754,8.292217754,62,230,118.0,96.99484522,9408.0,0,0,0,0,0,0,0,0,1,177.0,62.0,230.0,32,0,0,0,0,0,0,1,62,1,230,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.3-192.168.10.15-53-65009-17,192.168.10.15,65009,192.168.10.3,53,17,07/07/2017 03:54:26,311184,4,2,128,96,32,32,32.0,0.0,48,48,48.0,0.0,719.8313538,19.28119698,62236.8,122093.2423,279239,4,31941,10647.0,18434.21674,31933,4,4,4.0,0.0,4,4,0,0,0,0,128,64,12.85413132,6.427065659,32,48,36.57142857,7.807200584,60.95238095,0,0,0,0,0,0,0,0,0,42.66666667,32.0,48.0,128,0,0,0,0,0,0,4,128,2,96,-1,-1,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.3-192.168.10.15-53-56755-17,192.168.10.15,56755,192.168.10.3,53,17,07/07/2017 03:54:29,217,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,737327.1889,18433.17972,72.33333333,41.2835722,120,48,48,48.0,0.0,48,48,49,49.0,0.0,49,49,0,0,0,0,64,64,9216.589862,9216.589862,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.3-192.168.10.15-53-50376-17,192.168.10.15,50376,192.168.10.3,53,17,07/07/2017 03:54:32,181,2,2,72,136,36,36,36.0,0.0,68,68,68.0,0.0,1149171.271,22099.44751,60.33333333,64.04946005,130,4,4,4.0,0.0,4,4,47,47.0,0.0,47,47,0,0,0,0,64,64,11049.72376,11049.72376,36,68,48.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,61.0,36.0,68.0,64,0,0,0,0,0,0,2,72,2,136,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.1-192.168.10.3-53-62150-17,192.168.10.3,62150,192.168.10.1,53,17,07/07/2017 03:54:33,96692,1,1,62,189,62,62,62.0,0.0,189,189,189.0,0.0,2595.871427,20.68423448,96692.0,0.0,96692,96692,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,10.34211724,10.34211724,62,189,104.3333333,73.32348419,5376.333333,0,0,0,0,0,0,0,0,1,156.5,62.0,189.0,32,0,0,0,0,0,0,1,62,1,189,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.3-192.168.10.15-53-58595-17,192.168.10.15,58595,192.168.10.3,53,17,07/07/2017 03:54:36,46689,4,2,120,264,30,30,30.0,0.0,132,132,132.0,0.0,8224.635353,128.5099274,9337.8,13759.0336,30542,3,30549,10183.0,17631.4112,30542,3,3,3.0,0.0,3,3,0,0,0,0,80,40,85.67328493,42.83664246,30,132,59.14285714,49.77090372,2477.142857,0,0,0,0,0,0,0,0,0,69.0,30.0,132.0,80,0,0,0,0,0,0,4,120,2,264,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.12-52.193.90.60-47694-80-6,192.168.10.12,47694,52.193.90.60,80,6,07/07/2017 03:54:39,189096,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,10.57663832,189096.0,0.0,189096,189096,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,5.288319161,5.288319161,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,239,110,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.3-192.168.10.15-53-55122-17,192.168.10.15,55122,192.168.10.3,53,17,07/07/2017 03:54:39,186,2,2,104,136,52,52,52.0,0.0,68,68,68.0,0.0,1290322.581,21505.37634,62.0,65.47518614,133,4,4,4.0,0.0,4,4,49,49.0,0.0,49,49,0,0,0,0,40,40,10752.68817,10752.68817,52,68,58.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,73.0,52.0,68.0,40,0,0,0,0,0,0,2,104,2,136,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.1-192.168.10.3-53-60387-17,192.168.10.3,60387,192.168.10.1,53,17,07/07/2017 03:54:42,70571,1,1,53,218,53,53,53.0,0.0,218,218,218.0,0.0,3840.104292,28.34025308,70571.0,0.0,70571,70571,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,14.17012654,14.17012654,53,218,108.0,95.26279442,9075.0,0,0,0,0,0,0,0,0,1,162.0,53.0,218.0,20,0,0,0,0,0,0,1,53,1,218,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.15-199.59.148.12-58494-443-6,192.168.10.15,58494,199.59.148.12,443,6,07/07/2017 03:54:42,4661849,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,38.82579637,1.287042974,932369.8,1992951.893,4496960,4,4661849,1165462.25,2221812.716,4496960,4,0,0.0,0.0,0,0,1,0,0,0,100,20,1.072535811,0.214507162,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,252,127,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.15-205.174.165.73-58555-8080-6,192.168.10.15,58555,205.174.165.73,8080,6,07/07/2017 03:54:45,1002331,3,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,17.95813958,5.986046526,200466.2,273725.0835,500362,501,1001754,500877.0,147.0782105,500981,500773,1001830,500915.0,33.9411255,500939,500891,0,0,0,0,92,60,2.993023263,2.993023263,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.15-205.234.175.175-58445-443-6,192.168.10.15,58445,205.234.175.175,443,6,07/07/2017 03:54:49,3655063,5,3,135,58,46,6,27.0,20.1246118,46,6,19.33333333,23.09401077,52.80346741,2.188744763,522151.8571,1253133.503,3359558,49,3655063,913765.75,1764968.769,3560809,49,252794,126397.0,176768.21,251391,1403,1,0,0,0,100,60,1.367965477,0.820779286,6,46,26.55555556,20.0693243,402.7777778,0,1,0,0,1,0,0,0,0,29.875,27.0,19.33333333,100,0,0,0,0,0,0,5,135,3,58,252,661,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.1-192.168.10.3-53-60884-17,192.168.10.3,60884,192.168.10.1,53,17,07/07/2017 03:54:50,232169,1,1,45,105,45,45,45.0,0.0,105,105,105.0,0.0,646.0810875,8.6144145,232169.0,0.0,232169,232169,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,4.30720725,4.30720725,45,105,65.0,34.64101615,1200.0,0,0,0,0,0,0,0,0,1,97.5,45.0,105.0,20,0,0,0,0,0,0,1,45,1,105,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.15-23.61.187.27-58553-80-6,192.168.10.15,58553,23.61.187.27,80,6,07/07/2017 03:54:52,27995396,6,6,455,1786,431,0,75.83333333,174.0119728,1774,0,297.6666667,723.2586444,80.04887661,0.42864191,2545036.0,4344244.829,10000000,89,20200000,4043075.8,5456861.659,10000000,177,28000000,5591259.2,5129043.611,10000000,39373,0,0,0,0,132,156,0.214320955,0.214320955,0,1774,172.3846154,495.5417134,245561.5897,0,0,0,1,0,0,0,0,1,186.75,75.83333333,297.6666667,132,0,0,0,0,0,0,6,455,6,1786,8192,946,5,20,106878.5,95441.73779,174366,39391,10000000.0,509.1168825,10000000,10000000,BENIGN
192.168.10.15-31.13.80.2-58506-443-6,192.168.10.15,58506,31.13.80.2,443,6,07/07/2017 03:54:55,3654156,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,49.53264174,1.641966024,730831.2,1581400.111,3559549,3,3654156,913539.0,1764280.272,3559549,3,0,0.0,0.0,0,0,1,0,0,0,100,20,1.36830502,0.273661004,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,258,128,4,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.12-119.205.194.11-40468-80-6,192.168.10.12,40468,119.205.194.11,80,6,07/07/2017 03:55:00,17228772,40,40,2357,47405,774,0,58.925,189.3545565,1596,0,1185.125,568.0856376,2888.308,4.643395362,218085.7215,1243023.764,10000000,3,12400000,318541.5641,1600850.991,10000000,89,17000000,436615.6154,1784655.588,10200000,192,0,0,0,0,820,812,2.321697681,2.321697681,0,1596,614.345679,704.7441763,496664.354,0,0,0,1,0,0,0,0,1,622.025,58.925,1185.125,820,0,0,0,0,0,0,40,2357,40,47405,29200,148,39,20,2223206.0,0.0,2223206,2223206,10000000.0,0.0,10000000,10000000,BENIGN
192.168.10.15-31.13.80.36-58451-443-6,192.168.10.15,58451,31.13.80.36,443,6,07/07/2017 03:55:00,276,3,0,83,0,46,6,27.66666667,20.20725942,0,0,0.0,0.0,300724.6377,10869.56522,138.0,127.2792206,228,48,276,138.0,127.2792206,228,48,0,0.0,0.0,0,0,1,0,0,0,60,0,10869.56522,0.0,6,46,32.25,18.87458609,356.25,0,1,0,0,1,0,0,0,0,43.0,27.66666667,0.0,60,0,0,0,0,0,0,3,83,0,0,258,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.12-192.168.10.50-40604-22-6,192.168.10.50,22,192.168.10.12,40604,6,07/07/2017 03:55:00,114,1,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,26315.78947,57.0,11.3137085,65,49,0,0.0,0.0,0,0,49,49.0,0.0,49,49,0,0,0,0,32,64,8771.929825,17543.85965,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,243,290,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.1-192.168.10.3-53-60369-17,192.168.10.3,60369,192.168.10.1,53,17,07/07/2017 03:55:00,60271,1,1,76,108,76,76,76.0,0.0,108,108,108.0,0.0,3052.877835,33.18345473,60271.0,0.0,60271,60271,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,16.59172736,16.59172736,76,108,86.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,130.0,76.0,108.0,40,0,0,0,0,0,0,1,76,1,108,-1,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.12-119.205.194.11-40488-80-6,192.168.10.12,40488,119.205.194.11,80,6,07/07/2017 03:55:00,15431268,6,6,724,232,700,0,120.6666667,283.8243588,208,0,38.66666667,82.99076254,61.95213511,0.777641863,1402842.545,3187293.062,10000000,49,10600000,2124865.6,4403485.243,10000000,49,15200000,3044649.8,4499515.824,10200000,767,0,0,0,0,140,132,0.388820932,0.388820932,0,700,73.53846154,196.4792675,38604.10256,0,0,0,1,0,0,0,0,1,79.66666667,120.6666667,38.66666667,140,0,0,0,0,0,0,6,724,6,232,29200,125,5,20,416958.0,0.0,416958,416958,10000000.0,0.0,10000000,10000000,BENIGN
192.168.10.12-119.205.194.11-40484-80-6,192.168.10.12,40484,119.205.194.11,80,6,07/07/2017 03:55:00,15635415,8,7,1485,441,735,0,185.625,334.4829432,209,0,63.0,99.41998458,123.1818919,0.959360529,1116815.357,2838529.805,9959997,23,10900000,1550963.857,3709576.169,9959997,84,15400000,2572055.5,4180512.546,10200000,767,0,0,0,0,180,152,0.511658949,0.44770158,0,735,120.375,246.8537691,60936.78333,0,0,0,1,0,0,0,0,0,128.4,185.625,63.0,180,0,0,0,0,0,0,8,1485,7,441,29200,138,7,20,654320.0,0.0,654320,654320,9959997.0,0.0,9959997,9959997,BENIGN
192.168.10.12-119.205.194.11-40486-80-6,192.168.10.12,40486,119.205.194.11,80,6,07/07/2017 03:55:00,15437711,6,6,780,233,756,0,130.0,306.6855067,209,0,38.83333333,83.39884092,65.61853632,0.777317311,1403428.273,3187104.267,10000000,47,10600000,2126769.2,4404027.434,10000000,58,15200000,3045349.4,4499440.079,10200000,721,0,0,0,0,140,132,0.388658655,0.388658655,0,756,77.92307692,211.4570333,44714.07692,0,0,0,1,0,0,0,0,1,84.41666667,130.0,38.83333333,140,0,0,0,0,0,0,6,780,6,233,29200,126,5,20,423009.0,0.0,423009,423009,10000000.0,0.0,10000000,10000000,BENIGN
192.168.10.12-119.205.194.11-40476-80-6,192.168.10.12,40476,119.205.194.11,80,6,07/07/2017 03:55:01,16035736,10,9,2457,855,623,0,245.7,310.9415987,208,0,95.0,106.9813068,206.5386958,1.184853629,890874.2222,2524950.445,9984000,46,11300000,1251951.778,3275855.185,9984000,126,15800000,1979040.25,3708054.751,10200000,790,0,0,0,0,220,192,0.623607173,0.561246456,0,623,165.6,240.4124526,57798.14737,0,0,0,1,0,0,0,0,0,174.3157895,245.7,95.0,220,0,0,0,0,0,0,10,2457,9,855,29200,153,9,20,1065196.0,0.0,1065196,1065196,9984000.0,0.0,9984000,9984000,BENIGN
192.168.10.12-119.205.194.11-40480-80-6,192.168.10.12,40480,119.205.194.11,80,6,07/07/2017 03:55:01,15867701,9,8,1809,646,607,0,201.0,294.0960727,209,0,80.75,104.8437613,154.7168049,1.071358731,991731.3125,2662757.024,9960005,16,11100000,1388443.25,3465025.731,9960005,72,15700000,2236432.857,3918971.428,10200000,575,0,0,0,0,200,172,0.567189916,0.504168814,0,607,136.3888889,223.5836832,49989.6634,0,0,0,1,0,0,0,0,0,144.4117647,201.0,80.75,200,0,0,0,0,0,0,9,1809,8,646,29200,143,8,20,896244.0,0.0,896244,896244,9960005.0,0.0,9960005,9960005,BENIGN
192.168.10.14-192.168.10.50-57992-22792-6,192.168.10.50,22792,192.168.10.14,57992,6,07/07/2017 03:55:01,4,3,0,18,0,6,6,6.0,0.0,0,0,0.0,0.0,4500000.0,750000.0,2.0,1.414213562,3,1,4,2.0,1.414213562,3,1,0,0.0,0.0,0,0,0,0,0,0,60,0,750000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,8.0,6.0,0.0,60,0,0,0,0,0,0,3,18,0,0,389,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.12-119.205.194.11-40486-80-6,192.168.10.12,40486,119.205.194.11,80,6,07/07/2017 03:55:01,211055,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,56.85721731,9.476202886,211055.0,0.0,211055,211055,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,4.738101443,4.738101443,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,126,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
192.168.10.12-119.205.194.11-40488-80-6,192.168.10.12,40488,119.205.194.11,80,6,07/07/2017 03:55:01,209430,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,57.29838132,9.54973022,209430.0,0.0,209430,209430,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,4.77486511,4.77486511,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,125,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
