Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,campaign_id,timestamp,dataset
192.168.10.3-192.168.10.8-389-52949-17,192.168.10.8,52949.0,192.168.10.3,389.0,17.0,6/7/2017 2:24,184.0,2.0,2.0,328.0,326.0,164.0,164.0,164.0,0.0,163.0,163.0,163.0,0.0,3.5543478e+06,21739.13,61.333332,101.0363,178.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,40.0,40.0,10869.565,10869.565,163.0,164.0,163.6,0.5477226,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,204.5,164.0,163.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,328.0,2.0,326.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,cicids2017-thursday,2017-07-06 14:24:00+00:00,cicids2017
192.168.10.3-192.168.10.8-0-0-0,192.168.10.8,0.0,192.168.10.3,0.0,0.0,6/7/2017 2:24,6.98825e+06,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1447787,998321.44,2.6412358e+06,6.988081e+06,3.0,6.988162e+06,2.3293872e+06,4.034612e+06,6.988156e+06,3.0,6.988176e+06,2.329392e+06,4.0346192e+06,6.988169e+06,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57238936,0.57238936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,-1.0,-1.0,0.0,0.0,78.0,0.0,78.0,78.0,6.988081e+06,0.0,6.988081e+06,6.988081e+06,BENIGN,cicids2017-thursday,2017-07-06 14:24:00+00:00,cicids2017
192.168.10.3-192.168.10.8-53-58128-17,192.168.10.8,58128.0,192.168.10.3,53.0,17.0,6/7/2017 2:24,236.0,2.0,2.0,64.0,96.0,32.0,32.0,32.0,0.0,48.0,48.0,48.0,0.0,677966.1,16949.152,78.666664,130.19345,229.0,3.0,4.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,64.0,64.0,8474.576,8474.576,32.0,48.0,38.4,8.763561,76.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,32.0,48.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,2.0,96.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,cicids2017-thursday,2017-07-06 14:24:00+00:00,cicids2017
192.168.10.3-192.168.10.8-445-54010-6,192.168.10.8,54010.0,192.168.10.3,445.0,6.0,6/7/2017 2:24,2.0365724e+07,19.0,14.0,1554.0,1784.0,252.0,0.0,81.789474,80.30468,307.0,0.0,127.42857,105.63778,163.90285,1.6203696,636428.9,3.55452e+06,2.01e+07,1.0,2.04e+07,1.1314291e+06,4.737783e+06,2.01e+07,1.0,2.04e+07,1.5665738e+06,5.633362e+06,2.03e+07,3.0,0.0,0.0,0.0,0.0,404.0,304.0,0.93294007,0.68742955,0.0,307.0,98.17647,93.39894,8723.362,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,101.15151,81.789474,127.42857,404.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1554.0,14.0,1784.0,8192.0,2050.0,17.0,20.0,250779.0,0.0,250779.0,250779.0,2.01e+07,0.0,2.01e+07,2.01e+07,BENIGN,cicids2017-thursday,2017-07-06 14:24:00+00:00,cicids2017
192.168.10.3-192.168.10.8-53-50599-17,192.168.10.8,50599.0,192.168.10.3,53.0,17.0,6/7/2017 2:24,318.0,2.0,2.0,102.0,202.0,51.0,51.0,51.0,0.0,101.0,101.0,101.0,0.0,955974.8,12578.616,106.0,177.53592,311.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,40.0,40.0,6289.308,6289.308,51.0,101.0,71.0,27.386127,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,88.75,51.0,101.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,102.0,2.0,202.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,cicids2017-thursday,2017-07-06 14:24:00+00:00,cicids2017
192.168.10.3-192.168.10.8-389-50600-17,192.168.10.8,50600.0,192.168.10.3,389.0,17.0,6/7/2017 2:24,177.0,2.0,2.0,328.0,326.0,164.0,164.0,164.0,0.0,163.0,163.0,163.0,0.0,3.6949152e+06,22598.87,59.0,95.262794,169.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,40.0,40.0,11299.435,11299.435,163.0,164.0,163.6,0.5477226,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,204.5,164.0,163.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,328.0,2.0,326.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,cicids2017-thursday,2017-07-06 14:24:00+00:00,cicids2017
192.168.10.3-192.168.10.8-53-63078-17,192.168.10.8,63078.0,192.168.10.3,53.0,17.0,6/7/2017 2:24,320552.0,2.0,2.0,62.0,122.0,31.0,31.0,31.0,0.0,61.0,61.0,61.0,0.0,574.0098,12.478475,106850.664,185064.72,320545.0,3.0,4.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,64.0,40.0,6.2392373,6.2392373,31.0,61.0,43.0,16.431677,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,53.75,31.0,61.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,62.0,2.0,122.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,cicids2017-thursday,2017-07-06 14:24:00+00:00,cicids2017
192.168.10.8-91.207.59.161-54022-443-6,192.168.10.8,54022.0,91.207.59.161,443.0,6.0,6/7/2017 2:24,836861.0,32.0,33.0,710.0,49533.0,346.0,0.0,22.1875,70.989975,2920.0,0.0,1501.0,850.1207,60037.45,77.6712,13075.953,44221.0,164161.0,1.0,836835.0,26994.678,61861.42,168787.0,1.0,672704.0,21022.0,55257.07,168504.0,1.0,0.0,0.0,0.0,0.0,892.0,672.0,38.23813,39.43307,0.0,2920.0,761.25757,955.95074,913841.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,772.96924,22.1875,1501.0,892.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,710.0,33.0,49533.0,8192.0,128.0,11.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,cicids2017-thursday,2017-07-06 14:24:00+00:00,cicids2017
192.168.10.8-91.207.59.161-54018-443-6,192.168.10.8,54018.0,91.207.59.161,443.0,6.0,6/7/2017 2:24,704911.0,6.0,10.0,682.0,4574.0,350.0,0.0,113.666664,140.40181,1460.0,0.0,457.4,599.18225,7456.2603,22.6979,46994.066,75055.17,167267.0,4.0,537796.0,107559.2,96318.93,192997.0,227.0,537644.0,59738.223,88248.79,192794.0,4.0,0.0,0.0,0.0,0.0,132.0,212.0,8.511713,14.186188,0.0,1460.0,309.17648,492.08575,242148.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,328.5,113.666664,457.4,132.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,682.0,10.0,4574.0,8192.0,128.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,cicids2017-thursday,2017-07-06 14:24:00+00:00,cicids2017
192.168.10.8-54.192.48.96-54013-443-6,192.168.10.8,54013.0,54.192.48.96,443.0,6.0,6/7/2017 2:24,5.081548e+06,8.0,6.0,394.0,3716.0,213.0,0.0,49.25,78.3267,1460.0,0.0,619.3333,679.909,808.80865,2.755066,390888.3,1.312837e+06,4.756646e+06,3.0,5.081548e+06,725935.44,1.7792579e+06,4.756646e+06,3.0,95254.0,19050.8,24445.666,56057.0,49.0,0.0,0.0,0.0,0.0,172.0,132.0,1.5743234,1.1807425,0.0,1460.0,274.0,503.49023,253502.42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,293.57144,49.25,619.3333,172.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,394.0,6.0,3716.0,8192.0,119.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,cicids2017-thursday,2017-07-06 14:24:00+00:00,cicids2017
192.168.10.8-54.192.48.96-54012-443-6,192.168.10.8,54012.0,54.192.48.96,443.0,6.0,6/7/2017 2:24,5.081768e+06,8.0,6.0,394.0,3716.0,213.0,0.0,49.25,78.3267,1460.0,0.0,619.3333,679.909,808.7736,2.7549467,390905.22,1.3188162e+06,4.776788e+06,4.0,5.081768e+06,725966.9,1.7879725e+06,4.776788e+06,4.0,81808.0,16361.6,20735.725,45275.0,48.0,0.0,0.0,0.0,0.0,172.0,132.0,1.5742552,1.1806915,0.0,1460.0,274.0,503.49023,253502.42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,293.57144,49.25,619.3333,172.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,394.0,6.0,3716.0,8192.0,119.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,cicids2017-thursday,2017-07-06 14:24:00+00:00,cicids2017
192.168.10.8-54.192.48.96-54015-443-6,192.168.10.8,54015.0,54.192.48.96,443.0,6.0,6/7/2017 2:24,5.081968e+06,8.0,6.0,394.0,3716.0,213.0,0.0,49.25,78.3267,1460.0,0.0,619.3333,679.909,808.7418,2.7548382,390920.62,1.3216624e+06,4.786194e+06,3.0,5.081968e+06,725995.44,1.7922125e+06,4.786194e+06,3.0,72383.0,14476.6,18801.123,39301.0,48.0,0.0,0.0,0.0,0.0,172.0,132.0,1.5741934,1.180645,0.0,1460.0,274.0,503.49023,253502.42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,293.57144,49.25,619.3333,172.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,394.0,6.0,3716.0,8192.0,119.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,cicids2017-thursday,2017-07-06 14:24:00+00:00,cicids2017
192.168.10.8-54.192.48.96-54014-443-6,192.168.10.8,54014.0,54.192.48.96,443.0,6.0,6/7/2017 2:24,5.081719e+06,8.0,6.0,394.0,3716.0,213.0,0.0,49.25,78.3267,1460.0,0.0,619.3333,679.909,808.78143,2.7549732,390901.47,1.3186099e+06,4.77586e+06,2.0,5.081719e+06,725959.9,1.787662e+06,4.77586e+06,2.0,77270.0,15454.0,20023.885,43509.0,48.0,0.0,0.0,0.0,0.0,172.0,132.0,1.5742705,1.1807028,0.0,1460.0,274.0,503.49023,253502.42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,293.57144,49.25,619.3333,172.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,394.0,6.0,3716.0,8192.0,119.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,cicids2017-thursday,2017-07-06 14:24:00+00:00,cicids2017
192.168.10.8-54.192.48.96-54016-443-6,192.168.10.8,54016.0,54.192.48.96,443.0,6.0,6/7/2017 2:24,5.081712e+06,9.0,7.0,394.0,3974.0,213.0,0.0,43.77778,75.08458,1460.0,0.0,567.7143,635.517,859.55286,3.1485453,338780.8,1.2204664e+06,4.746687e+06,1.0,5.081712e+06,635214.0,1.6630666e+06,4.746687e+06,1.0,305426.0,50904.332,89451.16,230159.0,50.0,0.0,0.0,0.0,0.0,204.0,152.0,1.7710567,1.3774885,0.0,1460.0,256.94116,475.61926,226213.69,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,273.0,43.77778,567.7143,204.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,394.0,7.0,3974.0,8192.0,119.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,cicids2017-thursday,2017-07-06 14:24:00+00:00,cicids2017
192.168.10.8-91.207.59.161-54017-443-6,192.168.10.8,54017.0,91.207.59.161,443.0,6.0,6/7/2017 2:24,6.000379e+06,8.0,7.0,375.0,4070.0,194.0,0.0,46.875,72.741104,1460.0,0.0,581.4286,675.5025,740.78656,2.4998422,428598.5,1.4005561e+06,5.286686e+06,3.0,6.000379e+06,857197.0,1.9577402e+06,5.286686e+06,3.0,349296.0,58216.0,87898.24,175638.0,79.0,0.0,0.0,0.0,0.0,172.0,152.0,1.3332491,1.166593,0.0,1460.0,277.8125,511.46695,261598.42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,296.33334,46.875,581.4286,172.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,375.0,7.0,4070.0,8192.0,128.0,7.0,20.0,713690.0,0.0,713690.0,713690.0,5.286686e+06,0.0,5.286686e+06,5.286686e+06,BENIGN,cicids2017-thursday,2017-07-06 14:24:00+00:00,cicids2017
192.168.10.8-23.60.139.27-54021-80-6,192.168.10.8,54021.0,23.60.139.27,80.0,6.0,6/7/2017 2:24,5.573665e+06,3.0,1.0,12.0,0.0,6.0,0.0,4.0,3.4641016,0.0,0.0,0.0,0.0,2.152982,0.71766067,1.8578884e+06,3.1859092e+06,5.536598e+06,134.0,5.573665e+06,2.7868325e+06,3.8887558e+06,5.536598e+06,37067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,28.0,0.5382455,0.17941517,0.0,6.0,2.4,3.2863352,10.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,0.0,8192.0,29200.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,cicids2017-thursday,2017-07-06 14:24:00+00:00,cicids2017
